 firename, lat, lon, startdate, response_type,size_km2,status
 GWF-111-2025, 54.8198, -119.75, 2025-09-09 01:23:00, FUL,0.4,Under control
 EA108, 51.7797, -96.8981, 2025-08-02 05:00:00, MOD,1.2,Out of control
 V51800, 50.3723, -124.619, 2025-08-31 01:20:00, FUL,0,Under control
 25BN-MARTEN, 56.0624, -109.849, 2025-09-21 22:10:22, MOD,0,Out of control
 V31717, 50.2961, -122.935, 2025-08-30 00:42:00, MOD,0.6,Under control
 V31793, 50.2644, -123.607, 2025-08-30 20:17:00, FUL,15.4,Under control
 C51704, 51.9277, -125.065, 2025-08-29 22:56:00, FUL,5.4,Under control
 N21687, 50.7211, -116.71, 2025-08-29 02:22:00, MOD,4.9,Under control
 2025DA018, 64.33, -140.28, 2025-06-20 02:13:00, MON,22.9,Under control
 N71928, 49.1939, -116.247, 2025-09-02 21:07:00, FUL,4.5,Under control
 N62030, 49.4312, -118.483, 2025-09-08 22:30:00, MOD,2.5,Out of control
 C51672, 52.639, -125.578, 2025-08-28 06:12:00, FUL,139.9,Under control
 C11899, 53.1184, -121.366, 2025-09-01 22:33:00, FUL,1.2,Under control
 2025LM2, 46.7707, -73.1104, 2025-09-21 02:18:45, FUL,0.1,Out of control
 69942, 46.5133, -65.1307, 2025-09-22 21:18:19, FUL,0,Held
 N51965, 49.2792, -117.867, 2025-09-05 00:39:00, FUL,0.7,Under control
 2025KL2, 60.3599, -137.149, 2025-09-13 18:56:09, FUL,0.3,Out of control
 G72162, 56.1768, -120.815, 2025-09-22 00:40:00, FUL,0,Under control
 N71783, 49.3085, -116.985, 2025-08-30 20:18:00, MOD,7.7,Under control
 V61833, 49.0534, -124.328, 2025-08-31 21:15:00, MOD,0,Held
 HWF-118-2025, 57.9966, -116.343, 2025-09-20 18:01:00, FUL,0.2,Under control
 C51730, 52.0185, -124.713, 2025-08-30 01:40:00, FUL,77.9,Under control
 SWF-092-2025, 56.3196, -115.105, 2025-05-27 22:53:00, FUL,845.2,Out of control
 EA061, 50.3997, -95.6208, 2025-05-12 05:00:00, FUL,3590.4,Under control
 SS036-25, 60.6501, -113.597, 2025-09-23 21:39:00, MON,15,Out of control
 25SR-KEWEN, 58.1695, -103.895, 2025-09-23 20:23:26, MOD,0,Out of control
 SS014-25, 61.6167, -117.717, 2025-07-07 23:15:00, MOD,1583.5,Out of control
 N52153, 49.2461, -117.259, 2025-09-20 23:08:00, FUL,0,Under control
 N12193, 49.7716, -114.887, 2025-09-25 23:38:00, FUL,0,Under control
 KEN_FIRE_073, 49.5645, -94.3974, 2025-09-25 17:43:00, MON,0,Out of control
 LWF-201-2025, 55.8328, -110.327, 2025-08-28 21:06:00, FUL,33.3,Held
 G41658, 53.0148, -125.002, 2025-08-28 01:52:00, FUL,93.1,Out of control
 25BN-RACOON, 56.6346, -109.83, 2025-09-05 22:58:54, MOD,2,Out of control
 GWF-112-2025, 55.4769, -118.745, 2025-09-09 21:26:00, FUL,0,Under control
 PWF-145-2025, 57.8554, -118.306, 2025-09-23 00:10:00, FUL,1.2,Under control
 LWF-090-2025, 55.1931, -110.688, 2025-05-26 22:00:00, FUL,680.3,Under control
 25BN-HARDING, 56.6954, -108.512, 2025-09-23 14:19:42, MOD,0.4,Out of control
 PWF-143-2025, 57.211, -117.33, 2025-09-20 21:25:00, FUL,0.2,Under control
 25BN-DEER, 56.7864, -108.602, 2025-06-29 19:53:34, MOD,43.8,Out of control
 HWF-122-2025, 58.6494, -114.011, 2025-09-23 21:00:00, FUL,0.1,Under control
 N22201, 50.4514, -116.015, 2025-09-27 03:10:00, FUL,0,Under control
 C51738, 52.3743, -124.67, 2025-08-30 02:42:00, FUL,83.7,Under control
 C51874, 52.3866, -124.407, 2025-09-01 15:49:00, FUL,54.1,Under control
 C51880, 52.2429, -124.93, 2025-09-01 17:33:00, FUL,228.8,Under control
 K42202, 50.3076, -119.383, 2025-09-27 12:53:00, FUL,0.1,Under control
 N62205, 49.1419, -119.213, 2025-09-27 21:53:00, FUL,0,Under control
 69865, 46.1223, -65.7105, 2025-09-20 17:21:50, FUL,6.5,Held
 382, 46.8867, -75.0492, 2025-09-28 17:00:00, FUL,0,Under control
 69864, 46.9814, -64.9779, 2025-09-20 17:17:34, FUL,1,Held
 N41763, 51.4633, -116.92, 2025-08-30 16:49:00, MOD,2.5,Under control
 25DB-MIROND, 55.1167, -102.858, 2025-09-29 16:29:33, MOD,0,Out of control
 25BN-MOUNTAINS, 55.9368, -109.536, 2025-09-29 17:10:47, FUL,0,Out of control
 FS042-25, 60.4022, -123.354, 2025-09-14 00:00:00, MON,0,Out of control
 VA1845, 52.5195, -125.975, 2025-09-01 02:22:00, FUL,54,Under control
 C11659, 52.7932, -124.711, 2025-08-28 02:08:00, FUL,578.9,Held
 C31699, 52.432, -120.79, 2025-08-29 19:28:00, MOD,7,Under control
 25BN-WASAKAMIO, 56.6765, -108.71, 2025-09-29 18:28:12, MOD,0,Out of control
 C31794, 52.444, -120.85, 2025-08-31 01:00:00, MOD,23.3,Under control
 06-007-2025, 44.6642, -65.2162, 2025-08-13 23:00:00, FUL,84.7,Under control
 2025BA8, 51.5363, -115.743, 2025-09-02 23:31:42, MON,0.1,Out of control
 25HB-BOG, 52.3384, -102.523, 2025-09-28 20:38:55, FUL,0,Under control
 394, 45.7644, -75.1603, 2025-09-29 20:00:00, FUL,0,Under control
 06-011-2025, 44.4969, -65.5118, 2025-09-29 21:00:00, FUL,0,Under control
 C51842, 51.6868, -123.786, 2025-09-01 02:15:00, FUL,49.8,Under control
 25BN-WASAKAM, 56.6765, -108.71, 2025-09-29 18:28:12, MOD,0,Out of control
 2025WB12, 59.345, -111.797, 2025-07-15 23:30:18, MOD,498.1,Out of control
 HAL_FIRE_033, 45.9249, -77.9166, 2025-09-30 15:06:00, FUL,0,Out of control
 25BN-MOUNTAIN, 55.9368, -109.536, 2025-09-29 17:10:47, MOD,0,Out of control
 25LX-CLAWR01, 55.2671, -109.433, 2025-07-23 22:10:45, MOD,300,Out of control
 25BN-LION, 56.1343, -109.93, 2025-09-21 21:12:26, MOD,1,Out of control
 25BN-PARK, 56.7318, -109.564, 2025-06-28 21:18:41, MOD,640,Out of control
 25BN-CUMINS, 55.4553, -108.73, 2025-06-30 19:18:51, FUL,262.5,Out of control
 25BN-SPARROW, 55.8588, -109.253, 2025-08-01 00:30:11, MOD,16,Out of control
 25BN-WHITE, 55.8397, -109.757, 2025-08-01 00:55:35, MOD,50,Out of control
 25LX-MUSKEG, 55.2946, -107.571, 2025-06-29 00:54:10, FUL,3459.6,Under control
 25LX-TRAIL, 55.0834, -108.064, 2025-07-08 22:08:59, FUL,648,Under control
 70082, 46.4272, -65.2103, 2025-09-30 18:47:43, FUL,0,Out of control
 397, 47.0533, -76.9803, 2025-09-29 17:00:00, FUL,0,Under control
 400, 46.4036, -75.7892, 2025-09-29 17:00:00, FUL,0,Under control
 408, 47.5072, -76.7408, 2025-10-01 13:00:00, FUL,0,Held
 G82182, 58.0631, -121.576, 2025-09-24 19:07:00, MOD,0.1,Under control
 KEN_FIRE_076, 50.1006, -94.2437, 2025-09-30 14:29:00, FUL,0,Under control
 C41768, 52.1627, -120.739, 2025-08-30 18:03:00, MOD,8.7,Under control
 C51956, 51.5307, -125.064, 2025-09-04 04:03:00, MOD,2.5,Under control
 NOR_FIRE_032, 46.6895, -80.2895, 2025-10-01 16:23:00, FUL,0.1,Out of control
 V11606, 49.6188, -121.396, 2025-08-24 05:58:00, FUL,1.1,Under control
 V11668, 49.0794, -121.179, 2025-08-28 04:00:00, MOD,6.3,Under control
 V11860, 49.2425, -120.976, 2025-09-01 06:51:00, MOD,16.5,Under control
 V12007, 49.0525, -120.76, 2025-09-07 02:15:00, MOD,0,Under control
 07-017-2025, 44.949, -64.7528, 2025-09-28 22:00:00, FUL,2.9,Out of control
 SLK_FIRE_087, 50.1151, -91.4676, 2025-09-29 20:18:00, FUL,0,Under control
 EA115, 51.2633, -97.84, 2025-09-30 05:00:00, FUL,0.2,Under control
 EA116, 51.7597, -98.39, 2025-09-30 05:00:00, FUL,0.2,Under control
 404, 45.9319, -75.0603, 2025-09-30 17:00:00, FUL,0,Under control
 SWF-209-2025, 56.0889, -115.364, 2025-09-29 21:14:00, FUL,0,Under control
 G70422, 55.178, -120.275, 2025-05-29 03:05:00, FUL,262,Under control
 70103, 45.4734, -66.1825, 2025-10-01 12:29:27, FUL,0,Held
 406, 45.6786, -75.3639, 2025-10-01 01:03:00, FUL,0.2,Held
 V12080, 49.2631, -121.373, 2025-09-12 00:44:00, MOD,0,Under control
 FS043-25, 62.0325, -122.111, 2025-10-01 17:47:00, FUL,0,Under control
 K52192, 49.7515, -119.82, 2025-09-25 22:00:00, FUL,3.8,Held
 HAL_FIRE_034, 46.0508, -78.0031, 2025-10-01 18:40:00, FUL,0,Out of control
 25BN-ELK, 55.6374, -109.724, 2025-08-06 21:42:00, FUL,182.1,Out of control
 NOR_FIRE_033, 46.0519, -79.6821, 2025-10-01 19:44:00, FUL,0,Out of control
